[.2025-07-25 13:49:43,905]22root -INFO-Initiate the data ingestion
[.2025-07-25 13:49:46,386]68root -INFO-Performed train test split on the dataframe
[.2025-07-25 13:49:46,386]70root -INFO-Exited split_data_as_train_test method of Data_Ingestion class
[.2025-07-25 13:49:46,386]78root -INFO-Exporting train and test file path.
[.2025-07-25 13:49:46,462]87root -INFO-Exported train and test file path.
[.2025-07-25 13:49:46,462]24root -INFO-Data Initiation Completed
[.2025-07-25 13:49:46,504]28root -INFO-Initiate the data Validation
[.2025-07-25 13:49:46,624]32root -INFO-Required number of columns:2
[.2025-07-25 13:49:46,624]33root -INFO-Data frame has columns:31
[.2025-07-25 13:49:46,624]32root -INFO-Required number of columns:2
[.2025-07-25 13:49:46,624]33root -INFO-Data frame has columns:31
[.2025-07-25 13:49:46,822]30root -INFO-data Validation Completed
[.2025-07-25 13:49:46,822]33root -INFO-data Transformation started
[.2025-07-25 13:49:46,822]63root -INFO-Entered initiate_data_transformation method of DataTransformation class
[.2025-07-25 13:49:46,822]65root -INFO-Starting data transformation
[.2025-07-25 13:49:46,856]48root -INFO-Entered get_data_trnasformer_object method of Trnasformation class
[.2025-07-25 13:49:46,858]53root -INFO-Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[.2025-07-25 13:49:46,875]49root -INFO-Entered the save_object method of MainUtils class
[.2025-07-25 13:49:46,879]53root -INFO-Exited the save_object method of MainUtils class
[.2025-07-25 13:49:46,880]49root -INFO-Entered the save_object method of MainUtils class
[.2025-07-25 13:49:46,880]53root -INFO-Exited the save_object method of MainUtils class
[.2025-07-25 13:49:46,880]37root -INFO-data Transformation completed
[.2025-07-25 13:49:46,880]39root -INFO-Model Training sstared
