[.2025-07-24 13:22:56,092]22root -INFO-Initiate the data ingestion
[.2025-07-24 13:22:58,741]68root -INFO-Performed train test split on the dataframe
[.2025-07-24 13:22:58,741]70root -INFO-Exited split_data_as_train_test method of Data_Ingestion class
[.2025-07-24 13:22:58,741]78root -INFO-Exporting train and test file path.
[.2025-07-24 13:22:58,807]87root -INFO-Exported train and test file path.
[.2025-07-24 13:22:58,807]24root -INFO-Data Initiation Completed
[.2025-07-24 13:22:58,818]28root -INFO-Initiate the data Validation
[.2025-07-24 13:22:58,946]32root -INFO-Required number of columns:2
[.2025-07-24 13:22:58,946]33root -INFO-Data frame has columns:31
[.2025-07-24 13:22:58,946]32root -INFO-Required number of columns:2
[.2025-07-24 13:22:58,946]33root -INFO-Data frame has columns:31
[.2025-07-24 13:22:59,136]30root -INFO-data Validation Completed
[.2025-07-24 13:22:59,136]33root -INFO-data Transformation started
[.2025-07-24 13:22:59,136]63root -INFO-Entered initiate_data_transformation method of DataTransformation class
[.2025-07-24 13:22:59,136]65root -INFO-Starting data transformation
[.2025-07-24 13:22:59,169]48root -INFO-Entered get_data_trnasformer_object method of Trnasformation class
[.2025-07-24 13:22:59,169]53root -INFO-Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[.2025-07-24 13:22:59,186]49root -INFO-Entered the save_object method of MainUtils class
[.2025-07-24 13:22:59,202]53root -INFO-Exited the save_object method of MainUtils class
[.2025-07-24 13:22:59,202]49root -INFO-Entered the save_object method of MainUtils class
[.2025-07-24 13:22:59,207]53root -INFO-Exited the save_object method of MainUtils class
[.2025-07-24 13:22:59,209]37root -INFO-data Transformation completed
