[.2025-07-24 13:40:23,093]22root -INFO-Initiate the data ingestion
[.2025-07-24 13:40:25,134]68root -INFO-Performed train test split on the dataframe
[.2025-07-24 13:40:25,134]70root -INFO-Exited split_data_as_train_test method of Data_Ingestion class
[.2025-07-24 13:40:25,134]78root -INFO-Exporting train and test file path.
[.2025-07-24 13:40:25,211]87root -INFO-Exported train and test file path.
[.2025-07-24 13:40:25,211]24root -INFO-Data Initiation Completed
[.2025-07-24 13:40:25,217]28root -INFO-Initiate the data Validation
[.2025-07-24 13:40:25,334]32root -INFO-Required number of columns:2
[.2025-07-24 13:40:25,334]33root -INFO-Data frame has columns:31
[.2025-07-24 13:40:25,334]32root -INFO-Required number of columns:2
[.2025-07-24 13:40:25,334]33root -INFO-Data frame has columns:31
[.2025-07-24 13:40:25,534]30root -INFO-data Validation Completed
[.2025-07-24 13:40:25,534]33root -INFO-data Transformation started
[.2025-07-24 13:40:25,534]63root -INFO-Entered initiate_data_transformation method of DataTransformation class
[.2025-07-24 13:40:25,534]65root -INFO-Starting data transformation
[.2025-07-24 13:40:25,567]48root -INFO-Entered get_data_trnasformer_object method of Trnasformation class
[.2025-07-24 13:40:25,567]53root -INFO-Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[.2025-07-24 13:40:25,582]49root -INFO-Entered the save_object method of MainUtils class
[.2025-07-24 13:40:25,587]53root -INFO-Exited the save_object method of MainUtils class
[.2025-07-24 13:40:25,587]49root -INFO-Entered the save_object method of MainUtils class
[.2025-07-24 13:40:25,637]53root -INFO-Exited the save_object method of MainUtils class
[.2025-07-24 13:40:25,641]37root -INFO-data Transformation completed
[.2025-07-24 13:40:25,641]39root -INFO-Model Training sstared
