[.2025-07-25 15:06:24,424]22root -INFO-Initiate the data ingestion
[.2025-07-25 15:06:26,536]68root -INFO-Performed train test split on the dataframe
[.2025-07-25 15:06:26,536]70root -INFO-Exited split_data_as_train_test method of Data_Ingestion class
[.2025-07-25 15:06:26,536]78root -INFO-Exporting train and test file path.
[.2025-07-25 15:06:26,584]87root -INFO-Exported train and test file path.
[.2025-07-25 15:06:26,584]24root -INFO-Data Initiation Completed
[.2025-07-25 15:06:26,584]28root -INFO-Initiate the data Validation
[.2025-07-25 15:06:26,668]32root -INFO-Required number of columns:2
[.2025-07-25 15:06:26,668]33root -INFO-Data frame has columns:31
[.2025-07-25 15:06:26,668]32root -INFO-Required number of columns:2
[.2025-07-25 15:06:26,670]33root -INFO-Data frame has columns:31
[.2025-07-25 15:06:26,822]30root -INFO-data Validation Completed
[.2025-07-25 15:06:26,822]33root -INFO-data Transformation started
[.2025-07-25 15:06:26,822]63root -INFO-Entered initiate_data_transformation method of DataTransformation class
[.2025-07-25 15:06:26,822]65root -INFO-Starting data transformation
[.2025-07-25 15:06:26,856]48root -INFO-Entered get_data_trnasformer_object method of Trnasformation class
[.2025-07-25 15:06:26,856]53root -INFO-Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[.2025-07-25 15:06:26,880]49root -INFO-Entered the save_object method of MainUtils class
[.2025-07-25 15:06:26,883]53root -INFO-Exited the save_object method of MainUtils class
[.2025-07-25 15:06:26,883]49root -INFO-Entered the save_object method of MainUtils class
[.2025-07-25 15:06:26,886]53root -INFO-Exited the save_object method of MainUtils class
[.2025-07-25 15:06:26,889]37root -INFO-data Transformation completed
[.2025-07-25 15:06:26,889]39root -INFO-Model Training sstared
[.2025-07-25 15:11:33,331]874urllib3.connectionpool -WARNING-Retrying (Retry(total=6, connect=7, read=6, redirect=7, status=7)) after connection broken by 'RemoteDisconnected('Remote end closed connection without response')': /BALAKA-BHUVANESWARI/Network-Security.mlflow/api/2.0/mlflow/runs/create
