[.2025-07-24 13:22:21,755]22root -INFO-Initiate the data ingestion
[.2025-07-24 13:22:24,167]68root -INFO-Performed train test split on the dataframe
[.2025-07-24 13:22:24,167]70root -INFO-Exited split_data_as_train_test method of Data_Ingestion class
[.2025-07-24 13:22:24,167]78root -INFO-Exporting train and test file path.
[.2025-07-24 13:22:24,269]87root -INFO-Exported train and test file path.
[.2025-07-24 13:22:24,269]24root -INFO-Data Initiation Completed
[.2025-07-24 13:22:24,305]28root -INFO-Initiate the data Validation
[.2025-07-24 13:22:24,386]32root -INFO-Required number of columns:2
[.2025-07-24 13:22:24,386]33root -INFO-Data frame has columns:31
[.2025-07-24 13:22:24,386]32root -INFO-Required number of columns:2
[.2025-07-24 13:22:24,394]33root -INFO-Data frame has columns:31
[.2025-07-24 13:22:24,697]30root -INFO-data Validation Completed
[.2025-07-24 13:22:24,697]33root -INFO-data Transformation started
[.2025-07-24 13:22:24,697]63root -INFO-Entered initiate_data_transformation method of DataTransformation class
[.2025-07-24 13:22:24,697]65root -INFO-Starting data transformation
[.2025-07-24 13:22:24,725]48root -INFO-Entered get_data_trnasformer_object method of Trnasformation class
[.2025-07-24 13:22:24,730]53root -INFO-Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[.2025-07-24 13:22:24,781]49root -INFO-Entered the save_object method of MainUtils class
[.2025-07-24 13:22:24,785]53root -INFO-Exited the save_object method of MainUtils class
[.2025-07-24 13:22:24,785]49root -INFO-Entered the save_object method of MainUtils class
[.2025-07-24 13:22:24,789]53root -INFO-Exited the save_object method of MainUtils class
[.2025-07-24 13:22:24,792]37root -INFO-data Transformation completed
