[.2025-07-24 13:34:47,111]22root -INFO-Initiate the data ingestion
[.2025-07-24 13:34:49,267]68root -INFO-Performed train test split on the dataframe
[.2025-07-24 13:34:49,267]70root -INFO-Exited split_data_as_train_test method of Data_Ingestion class
[.2025-07-24 13:34:49,267]78root -INFO-Exporting train and test file path.
[.2025-07-24 13:34:49,335]87root -INFO-Exported train and test file path.
[.2025-07-24 13:34:49,335]24root -INFO-Data Initiation Completed
[.2025-07-24 13:34:49,338]28root -INFO-Initiate the data Validation
[.2025-07-24 13:34:49,463]32root -INFO-Required number of columns:2
[.2025-07-24 13:34:49,463]33root -INFO-Data frame has columns:31
[.2025-07-24 13:34:49,463]32root -INFO-Required number of columns:2
[.2025-07-24 13:34:49,463]33root -INFO-Data frame has columns:31
[.2025-07-24 13:34:49,637]30root -INFO-data Validation Completed
[.2025-07-24 13:34:49,637]33root -INFO-data Transformation started
[.2025-07-24 13:34:49,637]63root -INFO-Entered initiate_data_transformation method of DataTransformation class
[.2025-07-24 13:34:49,637]65root -INFO-Starting data transformation
[.2025-07-24 13:34:49,685]48root -INFO-Entered get_data_trnasformer_object method of Trnasformation class
[.2025-07-24 13:34:49,685]53root -INFO-Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[.2025-07-24 13:34:49,705]49root -INFO-Entered the save_object method of MainUtils class
[.2025-07-24 13:34:49,707]53root -INFO-Exited the save_object method of MainUtils class
[.2025-07-24 13:34:49,707]49root -INFO-Entered the save_object method of MainUtils class
[.2025-07-24 13:34:49,712]53root -INFO-Exited the save_object method of MainUtils class
[.2025-07-24 13:34:49,714]37root -INFO-data Transformation completed
[.2025-07-24 13:34:49,714]39root -INFO-Model Training sstared
