[.2025-07-24 13:26:03,356]22root -INFO-Initiate the data ingestion
[.2025-07-24 13:26:05,411]68root -INFO-Performed train test split on the dataframe
[.2025-07-24 13:26:05,411]70root -INFO-Exited split_data_as_train_test method of Data_Ingestion class
[.2025-07-24 13:26:05,419]78root -INFO-Exporting train and test file path.
[.2025-07-24 13:26:05,492]87root -INFO-Exported train and test file path.
[.2025-07-24 13:26:05,492]24root -INFO-Data Initiation Completed
[.2025-07-24 13:26:05,497]28root -INFO-Initiate the data Validation
[.2025-07-24 13:26:05,605]32root -INFO-Required number of columns:2
[.2025-07-24 13:26:05,606]33root -INFO-Data frame has columns:31
[.2025-07-24 13:26:05,606]32root -INFO-Required number of columns:2
[.2025-07-24 13:26:05,606]33root -INFO-Data frame has columns:31
[.2025-07-24 13:26:05,759]30root -INFO-data Validation Completed
[.2025-07-24 13:26:05,759]33root -INFO-data Transformation started
[.2025-07-24 13:26:05,759]63root -INFO-Entered initiate_data_transformation method of DataTransformation class
[.2025-07-24 13:26:05,759]65root -INFO-Starting data transformation
[.2025-07-24 13:26:05,784]48root -INFO-Entered get_data_trnasformer_object method of Trnasformation class
[.2025-07-24 13:26:05,784]53root -INFO-Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[.2025-07-24 13:26:05,808]49root -INFO-Entered the save_object method of MainUtils class
[.2025-07-24 13:26:05,811]53root -INFO-Exited the save_object method of MainUtils class
[.2025-07-24 13:26:05,811]49root -INFO-Entered the save_object method of MainUtils class
[.2025-07-24 13:26:05,813]53root -INFO-Exited the save_object method of MainUtils class
[.2025-07-24 13:26:05,818]37root -INFO-data Transformation completed
[.2025-07-24 13:26:05,818]39root -INFO-Model Training sstared
