[.2025-07-25 14:09:57,258]22root -INFO-Initiate the data ingestion
[.2025-07-25 14:10:00,721]68root -INFO-Performed train test split on the dataframe
[.2025-07-25 14:10:00,721]70root -INFO-Exited split_data_as_train_test method of Data_Ingestion class
[.2025-07-25 14:10:00,721]78root -INFO-Exporting train and test file path.
[.2025-07-25 14:10:00,927]87root -INFO-Exported train and test file path.
[.2025-07-25 14:10:00,927]24root -INFO-Data Initiation Completed
[.2025-07-25 14:10:00,944]28root -INFO-Initiate the data Validation
[.2025-07-25 14:10:01,182]32root -INFO-Required number of columns:2
[.2025-07-25 14:10:01,182]33root -INFO-Data frame has columns:31
[.2025-07-25 14:10:01,182]32root -INFO-Required number of columns:2
[.2025-07-25 14:10:01,189]33root -INFO-Data frame has columns:31
[.2025-07-25 14:10:01,762]30root -INFO-data Validation Completed
[.2025-07-25 14:10:01,764]33root -INFO-data Transformation started
[.2025-07-25 14:10:01,764]63root -INFO-Entered initiate_data_transformation method of DataTransformation class
[.2025-07-25 14:10:01,764]65root -INFO-Starting data transformation
[.2025-07-25 14:10:01,866]48root -INFO-Entered get_data_trnasformer_object method of Trnasformation class
[.2025-07-25 14:10:01,866]53root -INFO-Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[.2025-07-25 14:10:01,903]49root -INFO-Entered the save_object method of MainUtils class
[.2025-07-25 14:10:01,916]53root -INFO-Exited the save_object method of MainUtils class
[.2025-07-25 14:10:01,916]49root -INFO-Entered the save_object method of MainUtils class
[.2025-07-25 14:10:01,928]53root -INFO-Exited the save_object method of MainUtils class
[.2025-07-25 14:10:01,930]37root -INFO-data Transformation completed
[.2025-07-25 14:10:01,930]39root -INFO-Model Training sstared
[.2025-07-25 14:16:45,238]49root -INFO-Entered the save_object method of MainUtils class
[.2025-07-25 14:16:45,238]53root -INFO-Exited the save_object method of MainUtils class
[.2025-07-25 14:16:45,238]154root -INFO-Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\07_25_2025_14_09_53\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9904935275080906, precision_score=0.9882946518668012, recall_score=0.9927022096087573), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9785164167004459, precision_score=0.9710378117457763, recall_score=0.9861111111111112))
[.2025-07-25 14:16:45,241]43root -INFO-Model Training artifact created
