[.2025-07-25 15:18:28,187]22root -INFO-Initiate the data ingestion
[.2025-07-25 15:18:32,977]68root -INFO-Performed train test split on the dataframe
[.2025-07-25 15:18:32,977]70root -INFO-Exited split_data_as_train_test method of Data_Ingestion class
[.2025-07-25 15:18:32,978]78root -INFO-Exporting train and test file path.
[.2025-07-25 15:18:33,087]87root -INFO-Exported train and test file path.
[.2025-07-25 15:18:33,088]24root -INFO-Data Initiation Completed
[.2025-07-25 15:18:33,096]28root -INFO-Initiate the data Validation
[.2025-07-25 15:18:33,193]32root -INFO-Required number of columns:2
[.2025-07-25 15:18:33,194]33root -INFO-Data frame has columns:31
[.2025-07-25 15:18:33,194]32root -INFO-Required number of columns:2
[.2025-07-25 15:18:33,195]33root -INFO-Data frame has columns:31
[.2025-07-25 15:18:33,491]30root -INFO-data Validation Completed
[.2025-07-25 15:18:33,491]33root -INFO-data Transformation started
[.2025-07-25 15:18:33,491]63root -INFO-Entered initiate_data_transformation method of DataTransformation class
[.2025-07-25 15:18:33,492]65root -INFO-Starting data transformation
[.2025-07-25 15:18:33,544]48root -INFO-Entered get_data_trnasformer_object method of Trnasformation class
[.2025-07-25 15:18:33,544]53root -INFO-Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[.2025-07-25 15:18:33,570]49root -INFO-Entered the save_object method of MainUtils class
[.2025-07-25 15:18:33,575]53root -INFO-Exited the save_object method of MainUtils class
[.2025-07-25 15:18:33,575]49root -INFO-Entered the save_object method of MainUtils class
[.2025-07-25 15:18:33,579]53root -INFO-Exited the save_object method of MainUtils class
[.2025-07-25 15:18:33,581]37root -INFO-data Transformation completed
[.2025-07-25 15:18:33,581]39root -INFO-Model Training sstared
[.2025-07-25 15:23:41,025]874urllib3.connectionpool -WARNING-Retrying (Retry(total=6, connect=7, read=6, redirect=7, status=7)) after connection broken by 'RemoteDisconnected('Remote end closed connection without response')': /BALAKA-BHUVANESWARI/Network-Security.mlflow/api/2.0/mlflow/runs/create
